iter	Logloss
0	0.6569394066
1	0.6115710052
2	0.5768527112
3	0.5448171064
4	0.5238140434
5	0.5058516277
6	0.4887985119
7	0.479323368
8	0.4711032048
9	0.4666682668
10	0.4614136949
11	0.4518122656
12	0.4487288783
13	0.4442574348
14	0.4431871976
15	0.4409304684
16	0.437668985
17	0.4330922038
18	0.4313488337
19	0.4285431887
20	0.4283035892
21	0.4278036001
22	0.4248964309
23	0.4245552548
24	0.4236857962
25	0.4215888982
26	0.420887863
27	0.4197060378
28	0.4191951049
29	0.4179413605
30	0.4173026521
31	0.4171505234
32	0.4167951932
33	0.4167734304
34	0.4161636788
35	0.4160654391
36	0.4159457528
37	0.4155350414
38	0.4143639049
39	0.4143293325
40	0.4140864593
41	0.4139677649
42	0.4132903364
43	0.4129794474
44	0.4119329692
45	0.4118837842
46	0.411791841
47	0.4117516885
48	0.4117414512
49	0.4114193338
50	0.4113429741
51	0.4112166121
52	0.4106283718
53	0.4106103149
54	0.4104301406
55	0.4096965895
56	0.4092433814
57	0.4091988711
58	0.4090836931
59	0.4090279269
60	0.4089305636
61	0.4088640966
62	0.4082943831
63	0.4082772098
64	0.4080762438
65	0.4079820998
66	0.4079057357
67	0.4076449483
68	0.4075713723
69	0.4067725789
70	0.406550636
71	0.4062848935
72	0.4062426141
73	0.4058402368
74	0.4056181591
75	0.4052899846
76	0.4047570779
77	0.4046426041
78	0.4040253904
79	0.4040193198
80	0.4039311415
81	0.4036221251
82	0.4035168892
83	0.4033455371
84	0.4032014325
85	0.4030491217
86	0.4026517919
87	0.4022911732
88	0.4021685832
89	0.4018596099
90	0.4015638843
91	0.4014268787
92	0.4012349939
93	0.4011017553
94	0.4009117363
95	0.4006653662
96	0.4004446383
97	0.4003590299
98	0.4002144589
99	0.3998589306
100	0.3997788827
101	0.3996283779
102	0.3995220174
103	0.3994249319
104	0.3993409016
105	0.3992529088
106	0.3991420259
107	0.3990568495
108	0.3987695754
109	0.3986946532
110	0.3983040812
111	0.3982355923
112	0.3981721758
113	0.3981189312
114	0.398062877
115	0.3980029115
116	0.3979603589
117	0.3978469179
118	0.3978000917
119	0.3977583055
120	0.3977234273
121	0.3974602561
122	0.3974053604
123	0.3973686584
124	0.3973304629
125	0.3972471757
126	0.3972010643
127	0.3971474083
128	0.397112471
129	0.397087001
130	0.3970318034
131	0.3969946819
132	0.3968742209
133	0.3965071381
134	0.396452466
135	0.3964250466
136	0.396316415
137	0.3962997053
138	0.3962323698
139	0.3961814234
140	0.3961574231
141	0.3960558824
142	0.3960382053
143	0.3958969476
144	0.3958760908
145	0.3958366641
146	0.3957969404
147	0.3956374221
148	0.3955867458
149	0.3953036301
150	0.3952160014
151	0.3951785933
152	0.3951322817
153	0.3949381205
154	0.3949125305
155	0.3948401412
156	0.3946757997
157	0.3945647247
158	0.3944379941
159	0.3944235774
160	0.3943874109
161	0.3943584133
162	0.3942698728
163	0.3942355605
164	0.3942206955
165	0.3941948909
166	0.3941736246
167	0.3941479411
168	0.3940381423
169	0.3940228272
170	0.3939487488
171	0.3939408136
172	0.3939312611
173	0.3939070602
174	0.3938928954
175	0.3938325898
176	0.3937719786
177	0.3937487111
178	0.3936929059
179	0.3935795035
180	0.393537478
181	0.3934621942
182	0.3934336318
183	0.3934292282
184	0.3934063521
185	0.3933815143
186	0.393323155
187	0.3932950964
188	0.39327594
189	0.3932464094
190	0.3932342921
191	0.3932229329
192	0.3932081778
193	0.3931926858
194	0.3931840845
195	0.3931393969
196	0.3931251343
197	0.3931026981
198	0.3930816729
199	0.393063467
