iter	Passed	Remaining
0	1	298
1	2	222
2	2	190
3	3	177
4	4	165
5	4	156
6	5	151
7	6	144
8	6	144
9	7	139
10	7	135
11	8	133
12	9	129
13	9	127
14	10	123
15	10	121
16	11	119
17	11	118
18	12	117
19	13	117
20	13	115
21	14	114
22	14	113
23	15	111
24	15	110
25	16	110
26	17	109
27	17	109
28	18	108
29	19	109
30	20	109
31	20	108
32	21	107
33	21	105
34	22	105
35	22	104
36	23	102
37	23	102
38	24	101
39	25	100
40	25	100
41	26	99
42	27	99
43	27	99
44	28	98
45	29	97
46	29	96
47	30	95
48	30	94
49	31	94
50	31	93
51	32	93
52	33	93
53	34	92
54	34	91
55	35	91
56	36	91
57	37	90
58	37	90
59	38	90
60	39	90
61	40	89
62	40	88
63	41	88
64	42	87
65	43	87
66	43	87
67	45	88
68	46	88
69	48	89
70	48	89
71	49	88
72	50	87
73	52	89
74	53	88
75	53	87
76	54	87
77	55	86
78	55	85
79	56	84
80	57	83
81	57	83
82	58	82
83	59	82
84	60	81
85	60	80
86	61	79
87	61	78
88	62	78
89	63	77
90	64	76
91	65	76
92	65	75
93	66	74
94	67	74
95	67	73
96	68	72
97	68	71
98	69	70
99	70	70
100	71	69
101	72	69
102	72	68
103	73	67
104	74	67
105	74	66
106	75	65
107	76	64
108	76	64
109	77	63
110	78	63
111	79	62
112	80	61
113	80	60
114	81	60
115	82	59
116	82	58
117	83	58
118	84	57
119	85	56
120	86	56
121	86	55
122	87	54
123	88	53
124	88	53
125	89	52
126	90	51
127	91	51
128	92	50
129	92	49
130	93	49
131	93	48
132	94	47
133	95	46
134	96	46
135	96	45
136	97	44
137	98	44
138	98	43
139	99	42
140	100	41
141	100	41
142	101	40
143	102	39
144	102	39
145	103	38
146	104	37
147	105	36
148	105	36
149	106	35
150	107	34
151	107	34
152	109	33
153	110	32
154	110	32
155	111	31
156	112	30
157	112	29
158	113	29
159	114	28
160	114	27
161	115	27
162	116	26
163	116	25
164	117	24
165	118	24
166	118	23
167	119	22
168	120	22
169	120	21
170	121	20
171	122	19
172	123	19
173	124	18
174	124	17
175	125	17
176	126	16
177	126	15
178	127	14
179	128	14
180	129	13
181	129	12
182	130	12
183	131	11
184	131	10
185	132	9
186	133	9
187	133	8
188	134	7
189	135	7
190	135	6
191	136	5
192	137	4
193	137	4
194	138	3
195	139	2
196	139	2
197	140	1
198	141	0
199	142	0
